"","State","Lose 2 Seats","Lose 1 Seat","Gain 1 Seat","Gain 2 Seats","populations"
"1","Alabama",-930000,-210000,520000,NA,4802982
"2","Alaska",NA,NA,290000,NA,721523
"3","Arizona",NA,-4e+05,330000,NA,6412700
"4","Arkansas",NA,-470000,260000,970000,2926229
"5","California",-860000,-120000,660000,NA,37341989
"6","Colorado",NA,-450000,270000,1e+06,5044930
"7","Connecticut",NA,-420000,310000,NA,3581628
"8","Delaware",NA,NA,110000,850000,900877
"9","Florida",-840000,-120000,630000,NA,18900773
"10","Georgia",-880000,-170000,570000,NA,9727566
"11","Hawaii",NA,-370000,380000,NA,1366862
"12","Idaho",NA,-580000,170000,9e+05,1573499
"13","Illinois",NA,-470000,280000,NA,12864380
"14","Indiana",NA,-490000,240000,960000,6501582
"15","Iowa",NA,-6e+05,130000,850000,3053787
"16","Kansas",NA,-410000,320000,NA,2863813
"17","Kentucky",NA,-470000,260000,980000,4350606
"18","Louisiana",NA,-680000,50000,770000,4553962
"19","Maine",NA,-340000,410000,NA,1333074
"20","Maryland",NA,-490000,240000,960000,5789929
"21","Massachusetts",NA,-550000,180000,910000,6559644
"22","Michigan",NA,-350000,390000,NA,9911626
"23","Minnesota",-730000,-10000,730000,NA,5314879
"24","Mississippi",NA,-530000,2e+05,920000,2978240
"25","Missouri",NA,-710000,20000,740000,6011478
"26","Montana",NA,NA,20000,750000,994416
"27","Nebraska",-830000,-1e+05,630000,NA,1831825
"28","Nevada",-980000,-260000,470000,NA,2709432
"29","New Hampshire",NA,-320000,420000,NA,1321445
"30","New Jersey",NA,-670000,70000,790000,8807501
"31","New Mexico",NA,-340000,4e+05,NA,2067273
"32","New York",NA,-640000,110000,850000,19421055
"33","North Carolina",NA,-720000,20000,750000,9565781
"34","North Dakota",NA,NA,330000,NA,675905
"35","Ohio",NA,-590000,150000,880000,11568495
"36","Oklahoma",NA,-6e+05,130000,850000,3764882
"37","Oregon",NA,-680000,50000,770000,3848606
"38","Pennsylvania",NA,-340000,4e+05,NA,12734905
"39","Rhode Island",NA,-60000,690000,NA,1055247
"40","South Carolina",-770000,-60000,670000,NA,4645975
"41","South Dakota",NA,NA,190000,930000,819761
"42","Tennessee",NA,-360000,370000,NA,6375431
"43","Texas",-830000,-1e+05,660000,NA,25268418
"44","Utah",NA,-320000,410000,NA,2770765
"45","Vermont",NA,NA,380000,NA,630337
"46","Virginia",NA,-610000,130000,850000,8037736
"47","Washington",-750000,-30000,7e+05,NA,6753369
"48","West Virginia",-860000,-130000,610000,NA,1859815
"49","Wisconsin",NA,-4e+05,330000,NA,5698230
"50","Wyoming",NA,NA,NA,NA,568300
