Alabama,4802982.00,,,,,,
Alaska,721523.00,,,,,,
Arizona,6412700.00,,,,,,
Arkansas,2926229.00,,,,,,
California,37341989.00,,,,,,
Colorado,5044930.00,,,,,,
Connecticut,3581628.00,,,,,,
Delaware,900877.00,,,,,,
Florida,18900773.00,,,,,,
Georgia,9727566.00,,,,,,
Hawaii,1366862.00,,,,,,
Idaho,1573499.00,,,,,,
Illinois,12864380.00,,,,,,
Indiana,6501582.00,,,,,,
Iowa,3053787.00,,,,,,
Kansas,2863813.00,,,,,,
Kentucky,4350606.00,,,,,,
Louisiana,4553962.00,,,,,,
Maine,1333074.00,,,,,,
Maryland,5789929.00,,,,,,
Massachusetts,6559644.00,,,,,,
Michigan,9911626.00,,,,,,
Minnesota,5314879.00,,,,,,
Mississippi,2978240.00,,,,,,
Missouri,6011478.00,,,,,,
Montana,994416.00,,,,,,
Nebraska,1831825.00,,,,,,
Nevada,2709432.00,,,,,,
New Hampshire,1321445.00,,,,,,
New Jersey,8807501.00,,,,,,
New Mexico,2067273.00,,,,,,
New York,19421055.00,,,,,,
North Carolina,9565781.00,,,,,,
North Dakota,675905.00,,,,,,
Ohio,11568495.00,,,,,,
Oklahoma,3764882.00,,,,,,
Oregon,3848606.00,,,,,,
Pennsylvania,12734905.00,,,,,,
Rhode Island,1055247.00,,,,,,
South Carolina,4645975.00,,,,,,
South Dakota,819761.00,,,,,,
Tennessee,6375431.00,,,,,,
Texas,25268418.00,,,,,,
Utah,2770765.00,,,,,,
Vermont,630337.00,,,,,,
Virginia,8037736.00,,,,,,
Washington,6753369.00,,,,,,
West Virginia,1859815.00,,,,,,
Wisconsin,5698230.00,,,,,,
Wyoming,568300.00,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
